600
Taste 1 , Taste 0
7.071428571428571 , -2.5
12.119047619047619 , -3.0555555555555554
14.238095238095237 , 2
15.607142857142858 , 4.25
16.428571428571427 , 9.11111111111111
18.523809523809526 , 11
20.988095238095237 , 13.472222222222221
25.11904761904762 , 14.38888888888889
29.61904761904762 , 13.88888888888889
35.773809523809526 , 12.305555555555555
40.857142857142854 , 11.88888888888889
46.785714285714285 , 11.277777777777779
53.166666666666664 , 10.5
60.04761904761905 , 9.555555555555555
66.91666666666667 , 7.416666666666667
73.70238095238095 , 5.694444444444445
80.92857142857143 , 3.611111111111111
87.57142857142857 , 1.4444444444444444
94.16666666666667 , -1.0555555555555556
100.98809523809524 , -3.3055555555555554
106.55952380952381 , -4.861111111111111
112.22619047619048 , -5.75
119.53571428571429 , -6.027777777777778
123 , -5.333333333333333
124.55952380952381 , -1.4166666666666667
126.8452380952381 , 0.4722222222222222
127.71428571428571 , 4
130.20238095238096 , 6.083333333333333
133.61904761904762 , 7
136.82142857142858 , 8.083333333333334
139.72619047619048 , 10.527777777777779
143.21428571428572 , 10.833333333333334
145.72619047619048 , 13.194444444444445
150.14285714285714 , 16.11111111111111
152.07142857142858 , 19.61111111111111
154.91666666666666 , 22.416666666666668
158.07142857142858 , 25.38888888888889
160.54761904761904 , 28.27777777777778
163.5952380952381 , 31.166666666666668
165.4047619047619 , 34.166666666666664
166.26190476190476 , 38.166666666666664
166.26190476190476 , 43.166666666666664
164.46428571428572 , 48.138888888888886
162.78571428571428 , 53.166666666666664
160.96428571428572 , 59.52777777777778
159.57142857142858 , 67.44444444444444
160.72619047619048 , 69.08333333333333
162.08333333333334 , 73.36111111111111
164.36904761904762 , 77.80555555555556
168.64285714285714 , 77.83333333333333
171.11904761904762 , 79.72222222222223
173.02380952380952 , 83.61111111111111
173.98809523809524 , 87.69444444444444
175.35714285714286 , 91.16666666666667
178.89285714285714 , 92.58333333333333
182.36904761904762 , 92.58333333333333
185.14285714285714 , 94.33333333333333
189.48809523809524 , 95.63888888888889
194.97619047619048 , 95.5
198.73809523809524 , 95.94444444444444
203.07142857142858 , 99.5
205.42857142857142 , 102
208.4047619047619 , 105.61111111111111
209.21428571428572 , 110.38888888888889
212 , 110.88888888888889
214.13095238095238 , 112.47222222222223
215.39285714285714 , 116.52777777777777
217.9047619047619 , 118.11111111111111
220.0595238095238 , 121.75
222.1547619047619 , 127.19444444444444
221.5 , 132.72222222222223
219.46428571428572 , 139.58333333333334
216.89285714285714 , 144.58333333333334
214.76190476190476 , 153.33333333333334
212.14285714285714 , 160
209.82142857142858 , 168.75
207.5 , 177.5
204.9404761904762 , 184.58333333333334
202.32142857142858 , 191.25
200 , 200
