400
Major Taste , Minor Taste
0.9791666666666666 , 1.65625
2.7222222222222223 , 4.5
5.972222222222222 , 7.25
9.180555555555555 , 10.3125
12.4375 , 13.96875
16.104166666666668 , 17.09375
19.96527777777778 , 19.96875
22.770833333333332 , 24.885416666666668
26.9375 , 28.010416666666668
30.73611111111111 , 31.479166666666668
34.27777777777778 , 35.416666666666664
38.44444444444444 , 38.458333333333336
43.02777777777778 , 40.958333333333336
46.56944444444444 , 45.020833333333336
49.59027777777778 , 49.864583333333336
53.34027777777778 , 53.614583333333336
57.71527777777778 , 56.427083333333336
61.673611111111114 , 59.864583333333336
65.11111111111111 , 64.08333333333333
68.96527777777777 , 67.67708333333333
71.67361111111111 , 72.98958333333333
76.25694444444444 , 75.48958333333333
80.84027777777777 , 77.98958333333333
84.48611111111111 , 81.89583333333333
87.71527777777777 , 86.42708333333333
90.84027777777777 , 91.11458333333333
94.59027777777777 , 94.86458333333333
98.75694444444444 , 97.98958333333333
102.50694444444444 , 101.73958333333333
106.04861111111111 , 105.80208333333333
109.38194444444444 , 110.17708333333333
112.81944444444444 , 114.39583333333333
116.56944444444444 , 118.14583333333333
120.00694444444444 , 122.36458333333333
124.11805555555556 , 125.48958333333333
127.97222222222223 , 129.08333333333334
131.40972222222223 , 133.30208333333334
135.06944444444446 , 136.77083333333334
138.76388888888889 , 140.27083333333334
142.82638888888889 , 142.92708333333334
146.22916666666666 , 146.82291666666666
150.08333333333334 , 150.25
153.41666666666666 , 154.5
156.64583333333334 , 158.69791666666666
160.1875 , 162.55208333333334
163.59722222222223 , 166.3125
167.70833333333334 , 168.97916666666666
171.375 , 172.5625
175.72222222222223 , 175.375
179.39583333333334 , 178.53125
183.25 , 181.5
186.85416666666666 , 185.05208333333334
189.875 , 188.6875
193.04166666666666 , 192.5625
196.96527777777777 , 195.84375
200.78472222222223 , 199.07291666666666
204.65277777777777 , 202.14583333333334
208.17361111111111 , 205.15625
211.79861111111111 , 208.30208333333334
214.44444444444446 , 211.66666666666666
217.73611111111111 , 214.5625
220.91666666666666 , 217.70833333333334
223.96527777777777 , 221.05208333333334
227.83333333333334 , 224.125
230.96527777777777 , 227.42708333333334
235 , 229.58333333333334
238.45833333333334 , 232.39583333333334
241.35416666666666 , 235.17708333333334
243.77777777777777 , 239.16666666666666
246.40972222222223 , 242.71875
249.22222222222223 , 246.04166666666666
252.77777777777777 , 248.25
255.25694444444446 , 251.44791666666666
257.6666666666667 , 253.5
259.8611111111111 , 255.5
261.7083333333333 , 257.8958333333333
264.40972222222223 , 260.0104166666667
265.75694444444446 , 262.1145833333333
268.65972222222223 , 263.8020833333333
270.50694444444446 , 265.9895833333333
